Warehouse,nome_variavel,tipo,qt_nulos,percent_nulos,cardinalidade
METADADOS_DF_A_train,median_3m,bigint,18220,100.0,1
METADADOS_DF_A_train,lag_med_3m,bigint,18220,100.0,1
METADADOS_DF_A_train,diff_med_3m,bigint,18220,100.0,1
METADADOS_DF_A_train,ratio_med_3m,double,18220,100.0,1
METADADOS_DF_A_train,median_6m,bigint,18220,100.0,1
METADADOS_DF_A_train,lag_med_6m,bigint,18220,100.0,1
METADADOS_DF_A_train,diff_med_6m,bigint,18220,100.0,1
METADADOS_DF_A_train,ratio_med_6m,double,18220,100.0,1
METADADOS_DF_A_train,median_9m,bigint,18220,100.0,1
METADADOS_DF_A_train,lag_med_9m,bigint,18220,100.0,1
METADADOS_DF_A_train,diff_med_9m,bigint,18220,100.0,1
METADADOS_DF_A_train,ratio_med_9m,double,18220,100.0,1
METADADOS_DF_A_train,median_12m,bigint,18220,100.0,1
METADADOS_DF_A_train,lag_med_12m,bigint,18220,100.0,1
METADADOS_DF_A_train,diff_med_12m,bigint,18220,100.0,1
METADADOS_DF_A_train,ratio_med_12m,double,18220,100.0,1
METADADOS_DF_A_train,lag_12m,bigint,4933,27.07,102
METADADOS_DF_A_train,diff_12m,bigint,4933,27.07,149
METADADOS_DF_A_train,ratio_12m,double,4933,27.07,839
METADADOS_DF_A_train,ratio_std_3m,double,1858,10.2,1911
METADADOS_DF_A_train,ratio_std_6m,double,1160,6.37,7553
METADADOS_DF_A_train,ratio_std_9m,double,1083,5.94,9205
METADADOS_DF_A_train,ratio_std_12m,double,1069,5.87,11510
METADADOS_DF_A_train,delta_ratio_1m,double,848,4.65,3223
METADADOS_DF_A_train,lag_std_3m,double,848,4.65,398
METADADOS_DF_A_train,diff_std_3m,double,848,4.65,2306
METADADOS_DF_A_train,lag_std_6m,double,848,4.65,1973
METADADOS_DF_A_train,diff_std_6m,double,848,4.65,8479
METADADOS_DF_A_train,lag_std_9m,double,848,4.65,3234
METADADOS_DF_A_train,diff_std_9m,double,848,4.65,10793
METADADOS_DF_A_train,lag_std_12m,double,848,4.65,4827
METADADOS_DF_A_train,diff_std_12m,double,848,4.65,12518
METADADOS_DF_A_train,months_since_last,double,426,2.34,23
METADADOS_DF_A_train,lag_1m,bigint,426,2.34,102
METADADOS_DF_A_train,diff_1m,bigint,426,2.34,133
METADADOS_DF_A_train,ratio_1m,double,426,2.34,840
METADADOS_DF_A_train,std_3m,double,426,2.34,399
METADADOS_DF_A_train,lag_sum_3m,bigint,426,2.34,224
METADADOS_DF_A_train,lag_avg_3m,double,426,2.34,249
METADADOS_DF_A_train,diff_sum_3m,bigint,426,2.34,152
METADADOS_DF_A_train,diff_avg_3m,double,426,2.34,464
METADADOS_DF_A_train,ratio_sum_3m,double,426,2.34,1660
METADADOS_DF_A_train,ratio_avg_3m,double,426,2.34,1722
METADADOS_DF_A_train,std_6m,double,426,2.34,1980
METADADOS_DF_A_train,lag_sum_6m,bigint,426,2.34,363
METADADOS_DF_A_train,lag_avg_6m,double,426,2.34,465
METADADOS_DF_A_train,diff_sum_6m,bigint,426,2.34,154
METADADOS_DF_A_train,diff_avg_6m,double,426,2.34,665
METADADOS_DF_A_train,ratio_sum_6m,double,426,2.34,2344
METADADOS_DF_A_train,ratio_avg_6m,double,426,2.34,2510
METADADOS_DF_A_train,std_9m,double,426,2.34,3257
METADADOS_DF_A_train,lag_sum_9m,bigint,426,2.34,497
METADADOS_DF_A_train,lag_avg_9m,double,426,2.34,832
METADADOS_DF_A_train,diff_sum_9m,bigint,426,2.34,156
METADADOS_DF_A_train,diff_avg_9m,double,426,2.34,1087
METADADOS_DF_A_train,ratio_sum_9m,double,426,2.34,2911
METADADOS_DF_A_train,ratio_avg_9m,double,426,2.34,3346
METADADOS_DF_A_train,std_12m,double,426,2.34,4859
METADADOS_DF_A_train,lag_sum_12m,bigint,426,2.34,609
METADADOS_DF_A_train,lag_avg_12m,double,426,2.34,1123
METADADOS_DF_A_train,diff_sum_12m,bigint,426,2.34,165
METADADOS_DF_A_train,diff_avg_12m,double,426,2.34,1452
METADADOS_DF_A_train,ratio_sum_12m,double,426,2.34,3283
METADADOS_DF_A_train,ratio_avg_12m,double,426,2.34,4018
METADADOS_DF_A_train,target,bigint,3,0.02,102
METADADOS_DF_A_train,Product_Code,int,0,0.0,426
METADADOS_DF_A_train,month_dt,date,0,0.0,55
METADADOS_DF_A_train,count_demand,bigint,0,0.0,101
METADADOS_DF_A_train,sum_3m,bigint,0,0.0,223
METADADOS_DF_A_train,avg_3m,double,0,0.0,248
METADADOS_DF_A_train,zero_count_3m,bigint,0,0.0,1
METADADOS_DF_A_train,sum_6m,bigint,0,0.0,362
METADADOS_DF_A_train,avg_6m,double,0,0.0,464
METADADOS_DF_A_train,zero_count_6m,bigint,0,0.0,1
METADADOS_DF_A_train,sum_9m,bigint,0,0.0,497
METADADOS_DF_A_train,avg_9m,double,0,0.0,832
METADADOS_DF_A_train,zero_count_9m,bigint,0,0.0,1
METADADOS_DF_A_train,sum_12m,bigint,0,0.0,608
METADADOS_DF_A_train,avg_12m,double,0,0.0,1122
METADADOS_DF_A_train,zero_count_12m,bigint,0,0.0,1
METADADOS_DF_A_train,sin_12m,double,0,0.0,11
METADADOS_DF_A_train,cos_12m,double,0,0.0,11
METADADOS_DF_A_train,sin_6m,double,0,0.0,12
METADADOS_DF_A_train,cos_6m,double,0,0.0,9
METADADOS_DF_A_train,sin_4m,double,0,0.0,8
METADADOS_DF_A_train,cos_4m,double,0,0.0,8
