Warehouse,nome_variavel,tipo,qt_nulos,percent_nulos,cardinalidade
METADADOS_DF_J_train,median_3m,bigint,74293,100.0,1
METADADOS_DF_J_train,lag_med_3m,bigint,74293,100.0,1
METADADOS_DF_J_train,diff_med_3m,bigint,74293,100.0,1
METADADOS_DF_J_train,ratio_med_3m,double,74293,100.0,1
METADADOS_DF_J_train,median_6m,bigint,74293,100.0,1
METADADOS_DF_J_train,lag_med_6m,bigint,74293,100.0,1
METADADOS_DF_J_train,diff_med_6m,bigint,74293,100.0,1
METADADOS_DF_J_train,ratio_med_6m,double,74293,100.0,1
METADADOS_DF_J_train,median_9m,bigint,74293,100.0,1
METADADOS_DF_J_train,lag_med_9m,bigint,74293,100.0,1
METADADOS_DF_J_train,diff_med_9m,bigint,74293,100.0,1
METADADOS_DF_J_train,ratio_med_9m,double,74293,100.0,1
METADADOS_DF_J_train,median_12m,bigint,74293,100.0,1
METADADOS_DF_J_train,lag_med_12m,bigint,74293,100.0,1
METADADOS_DF_J_train,diff_med_12m,bigint,74293,100.0,1
METADADOS_DF_J_train,ratio_med_12m,double,74293,100.0,1
METADADOS_DF_J_train,lag_12m,bigint,19144,25.77,242
METADADOS_DF_J_train,diff_12m,bigint,19144,25.77,124
METADADOS_DF_J_train,ratio_12m,double,19144,25.77,2033
METADADOS_DF_J_train,ratio_std_3m,double,7047,9.49,3935
METADADOS_DF_J_train,ratio_std_6m,double,4172,5.62,19962
METADADOS_DF_J_train,ratio_std_9m,double,3971,5.35,25269
METADADOS_DF_J_train,ratio_std_12m,double,3946,5.31,34685
METADADOS_DF_J_train,delta_ratio_1m,double,3240,4.36,8562
METADADOS_DF_J_train,lag_std_3m,double,3240,4.36,633
METADADOS_DF_J_train,diff_std_3m,double,3240,4.36,4732
METADADOS_DF_J_train,lag_std_6m,double,3240,4.36,3886
METADADOS_DF_J_train,diff_std_6m,double,3240,4.36,23240
METADADOS_DF_J_train,lag_std_9m,double,3240,4.36,6352
METADADOS_DF_J_train,diff_std_9m,double,3240,4.36,31277
METADADOS_DF_J_train,lag_std_12m,double,3240,4.36,9741
METADADOS_DF_J_train,diff_std_12m,double,3240,4.36,39080
METADADOS_DF_J_train,months_since_last,double,1623,2.18,27
METADADOS_DF_J_train,lag_1m,bigint,1623,2.18,252
METADADOS_DF_J_train,diff_1m,bigint,1623,2.18,130
METADADOS_DF_J_train,ratio_1m,double,1623,2.18,2153
METADADOS_DF_J_train,std_3m,double,1623,2.18,637
METADADOS_DF_J_train,lag_sum_3m,bigint,1623,2.18,581
METADADOS_DF_J_train,lag_avg_3m,double,1623,2.18,640
