Warehouse,nome_variavel,tipo,qt_nulos,percent_nulos,cardinalidade
METADADOS_DF_S_train,median_3m,bigint,21910,100.0,1
METADADOS_DF_S_train,lag_med_3m,bigint,21910,100.0,1
METADADOS_DF_S_train,diff_med_3m,bigint,21910,100.0,1
METADADOS_DF_S_train,ratio_med_3m,double,21910,100.0,1
METADADOS_DF_S_train,median_6m,bigint,21910,100.0,1
METADADOS_DF_S_train,lag_med_6m,bigint,21910,100.0,1
METADADOS_DF_S_train,diff_med_6m,bigint,21910,100.0,1
METADADOS_DF_S_train,ratio_med_6m,double,21910,100.0,1
METADADOS_DF_S_train,median_9m,bigint,21910,100.0,1
METADADOS_DF_S_train,lag_med_9m,bigint,21910,100.0,1
METADADOS_DF_S_train,diff_med_9m,bigint,21910,100.0,1
METADADOS_DF_S_train,ratio_med_9m,double,21910,100.0,1
METADADOS_DF_S_train,median_12m,bigint,21910,100.0,1
METADADOS_DF_S_train,lag_med_12m,bigint,21910,100.0,1
METADADOS_DF_S_train,diff_med_12m,bigint,21910,100.0,1
METADADOS_DF_S_train,ratio_med_12m,double,21910,100.0,1
METADADOS_DF_S_train,lag_12m,bigint,6433,29.36,51
METADADOS_DF_S_train,diff_12m,bigint,6433,29.36,51
METADADOS_DF_S_train,ratio_12m,double,6433,29.36,337
METADADOS_DF_S_train,ratio_std_3m,double,2929,13.37,823
METADADOS_DF_S_train,ratio_std_6m,double,1667,7.61,5410
METADADOS_DF_S_train,ratio_std_9m,double,1574,7.18,7251
METADADOS_DF_S_train,ratio_std_12m,double,1564,7.14,10267
METADADOS_DF_S_train,delta_ratio_1m,double,1104,5.04,1538
METADADOS_DF_S_train,lag_std_3m,double,1104,5.04,133
METADADOS_DF_S_train,diff_std_3m,double,1104,5.04,1032
METADADOS_DF_S_train,lag_std_6m,double,1104,5.04,888
METADADOS_DF_S_train,diff_std_6m,double,1104,5.04,6306
METADADOS_DF_S_train,lag_std_9m,double,1104,5.04,1720
METADADOS_DF_S_train,diff_std_9m,double,1104,5.04,9017
METADADOS_DF_S_train,lag_std_12m,double,1104,5.04,2937
METADADOS_DF_S_train,diff_std_12m,double,1104,5.04,11685
METADADOS_DF_S_train,months_since_last,double,553,2.52,21
METADADOS_DF_S_train,lag_1m,bigint,553,2.52,51
METADADOS_DF_S_train,diff_1m,bigint,553,2.52,43
METADADOS_DF_S_train,ratio_1m,double,553,2.52,334
METADADOS_DF_S_train,std_3m,double,553,2.52,133
METADADOS_DF_S_train,lag_sum_3m,bigint,553,2.52,108
METADADOS_DF_S_train,lag_avg_3m,double,553,2.52,122
METADADOS_DF_S_train,diff_sum_3m,bigint,553,2.52,48
METADADOS_DF_S_train,diff_avg_3m,double,553,2.52,213
METADADOS_DF_S_train,ratio_sum_3m,double,553,2.52,713
METADADOS_DF_S_train,ratio_avg_3m,double,553,2.52,732
METADADOS_DF_S_train,std_6m,double,553,2.52,891
METADADOS_DF_S_train,lag_sum_6m,bigint,553,2.52,183
METADADOS_DF_S_train,lag_avg_6m,double,553,2.52,259
METADADOS_DF_S_train,diff_sum_6m,bigint,553,2.52,54
METADADOS_DF_S_train,diff_avg_6m,double,553,2.52,393
METADADOS_DF_S_train,ratio_sum_6m,double,553,2.52,1178
METADADOS_DF_S_train,ratio_avg_6m,double,553,2.52,1328
METADADOS_DF_S_train,std_9m,double,553,2.52,1728
METADADOS_DF_S_train,lag_sum_9m,bigint,553,2.52,250
METADADOS_DF_S_train,lag_avg_9m,double,553,2.52,477
METADADOS_DF_S_train,diff_sum_9m,bigint,553,2.52,57
METADADOS_DF_S_train,diff_avg_9m,double,553,2.52,699
METADADOS_DF_S_train,ratio_sum_9m,double,553,2.52,1533
METADADOS_DF_S_train,ratio_avg_9m,double,553,2.52,1954
METADADOS_DF_S_train,std_12m,double,553,2.52,2963
METADADOS_DF_S_train,lag_sum_12m,bigint,553,2.52,314
METADADOS_DF_S_train,lag_avg_12m,double,553,2.52,654
METADADOS_DF_S_train,diff_sum_12m,bigint,553,2.52,63
METADADOS_DF_S_train,diff_avg_12m,double,553,2.52,1030
METADADOS_DF_S_train,ratio_sum_12m,double,553,2.52,1847
METADADOS_DF_S_train,ratio_avg_12m,double,553,2.52,2559
METADADOS_DF_S_train,target,bigint,132,0.6,51
METADADOS_DF_S_train,Product_Code,int,0,0.0,553
METADADOS_DF_S_train,month_dt,date,0,0.0,55
METADADOS_DF_S_train,count_demand,bigint,0,0.0,50
METADADOS_DF_S_train,sum_3m,bigint,0,0.0,107
METADADOS_DF_S_train,avg_3m,double,0,0.0,121
METADADOS_DF_S_train,zero_count_3m,bigint,0,0.0,1
METADADOS_DF_S_train,sum_6m,bigint,0,0.0,182
METADADOS_DF_S_train,avg_6m,double,0,0.0,258
METADADOS_DF_S_train,zero_count_6m,bigint,0,0.0,1
METADADOS_DF_S_train,sum_9m,bigint,0,0.0,249
METADADOS_DF_S_train,avg_9m,double,0,0.0,476
METADADOS_DF_S_train,zero_count_9m,bigint,0,0.0,1
METADADOS_DF_S_train,sum_12m,bigint,0,0.0,313
METADADOS_DF_S_train,avg_12m,double,0,0.0,653
METADADOS_DF_S_train,zero_count_12m,bigint,0,0.0,1
METADADOS_DF_S_train,sin_12m,double,0,0.0,11
METADADOS_DF_S_train,cos_12m,double,0,0.0,11
METADADOS_DF_S_train,sin_6m,double,0,0.0,12
METADADOS_DF_S_train,cos_6m,double,0,0.0,9
METADADOS_DF_S_train,sin_4m,double,0,0.0,8
METADADOS_DF_S_train,cos_4m,double,0,0.0,8
